payment_id,order_id,payment_amount,status
PAY001,ORD001,750,SUCCESS
PAY002,ORD002,1500,SUCCESS
PAY003,ORD003,1200,SUCCESS
PAY004,ORD004,750,SUCCESS
PAY005,ORD005,750,SUCCESS
PAY006,ORD006,2500,SUCCESS
PAY007,ORD007,500,SUCCESS
PAY008,ORD008,1200,SUCCESS
PAY009,ORD009,5000,SUCCESS
PAY010,ORD010,300,SUCCESS
PAY011,ORD011,1200,SUCCESS
PAY012,ORD012,2500,SUCCESS
PAY013,ORD013,3000,SUCCESS
PAY014,ORD014,1500,SUCCESS
PAY016,ORD016,2000,SUCCESS
PAY017,ORD017,1000,SUCCESS
PAY018,ORD018,2000,SUCCESS
PAY019,ORD019,750,SUCCESS
PAY020,ORD020,550,SUCCESS
PAY021,ORD021,2000,SUCCESS
PAY022,ORD022,1500,SUCCESS
PAY023,ORD023,3000,SUCCESS
PAY024,ORD024,750,SUCCESS
PAY025,ORD025,750,SUCCESS
PAY026,ORD026,1500,SUCCESS
PAY027,ORD027,2000,SUCCESS
PAY028,ORD028,1200,SUCCESS
PAY029,ORD029,500,SUCCESS
PAY030,ORD030,1300,SUCCESS
PAY031,ORD031,1200,SUCCESS
PAY032,ORD032,2500,SUCCESS
PAY033,ORD033,3000,SUCCESS
PAY034,ORD034,1000,SUCCESS
PAY035,ORD035,2000,SUCCESS
PAY036,ORD036,1500,SUCCESS
PAY037,ORD037,1000,SUCCESS
PAY038,ORD038,1200,SUCCESS
PAY039,ORD039,3000,SUCCESS
PAY040,ORD040,1300,SUCCESS
PAY041,ORD041,1200,SUCCESS
PAY042,ORD042,500,SUCCESS
PAY043,ORD043,500,SUCCESS
PAY044,ORD044,2500,SUCCESS
PAY046,ORD046,2000,SUCCESS
PAY047,ORD047,3000,SUCCESS
PAY048,ORD048,3000,SUCCESS
PAY049,ORD049,1500,SUCCESS
PAY050,ORD050,1000,SUCCESS
PAY051,ORD051,5000,SUCCESS
PAY052,ORD052,2500,SUCCESS
PAY053,ORD053,2500,SUCCESS
PAY054,ORD054,1200,SUCCESS
PAY055,ORD055,5000,SUCCESS
PAY056,ORD056,750,SUCCESS
PAY057,ORD057,750,SUCCESS
PAY058,ORD058,1000,SUCCESS
PAY059,ORD059,750,SUCCESS
PAY060,ORD060,2300,SUCCESS
PAY061,ORD061,3000,SUCCESS
PAY062,ORD062,1500,SUCCESS
PAY063,ORD063,500,SUCCESS
PAY064,ORD064,5000,SUCCESS
PAY065,ORD065,2000,SUCCESS
PAY066,ORD066,1500,SUCCESS
PAY067,ORD067,1000,SUCCESS
PAY068,ORD068,500,SUCCESS
PAY069,ORD069,5000,SUCCESS
PAY070,ORD070,4800,SUCCESS
PAY071,ORD071,1500,SUCCESS
PAY072,ORD072,1200,SUCCESS
PAY073,ORD073,2000,SUCCESS
PAY074,ORD074,5000,SUCCESS
PAY076,ORD076,2000,SUCCESS
PAY077,ORD077,500,SUCCESS
PAY078,ORD078,2000,SUCCESS
PAY079,ORD079,1200,SUCCESS
PAY080,ORD080,1000,SUCCESS
PAY081,ORD081,750,SUCCESS
PAY082,ORD082,3000,SUCCESS
PAY083,ORD083,5000,SUCCESS
PAY084,ORD084,1000,SUCCESS
PAY085,ORD085,5000,SUCCESS
PAY086,ORD086,1500,SUCCESS
PAY087,ORD087,2500,SUCCESS
PAY088,ORD088,5000,SUCCESS
PAY089,ORD089,1500,SUCCESS
PAY090,ORD090,1800,SUCCESS
PAY091,ORD091,5000,SUCCESS
PAY092,ORD092,750,SUCCESS
PAY093,ORD093,1200,SUCCESS
PAY094,ORD094,2000,SUCCESS
PAY095,ORD095,5000,SUCCESS
PAY096,ORD096,1200,SUCCESS
PAY097,ORD097,750,SUCCESS
PAY098,ORD098,1200,SUCCESS
PAY099,ORD099,500,SUCCESS
PAY100,ORD100,550,SUCCESS
PAY_DUP_001,ORD005,1000,SUCCESS
PAY_UNKNOWN_001,ORD999,1500,SUCCESS
